,video,description
0,mixkit-excited-dog-in-a-yard-26188.mp4,Excited dog in a yard
0,mixkit-dogs-exploring-the-snow-26054.mp4,Dogs exploring the snow
0,mixkit-stroking-a-dog-lying-on-the-grass-18198.mp4,Dog lying on the grass in a park while being gently caressed by a man's hand.
0,mixkit-a-german-shepherd-dog-rolling-over-13183.mp4,A German shepherd dog rolling over
0,mixkit-couple-with-dogs-resting-on-park-bench-10350.mp4,"A couple of a man and a woman, sitting on a bench with their two dogs, resting in a park, with grass and trees, during a sunny day."
0,mixkit-dog-nose-close-up-8492.mp4,Dog nose close up
0,mixkit-woman-doing-yoga-at-the-beach-6232.mp4,Woman doing Yoga at the beach
0,mixkit-woman-doing-yoga-with-her-pet-dog-6156.mp4,Woman doing Yoga with her pet dog
0,mixkit-man-drinking-coffee-out-his-cabin-551.mp4,"A man drinking coffee at the door of his cabin, accompanied by his dog during the morning."
0,mixkit-woman-and-her-dog-in-a-forest-534.mp4,A woman and her dog in a forest. The woman is sitting on a log while drinking from a mug.
0,mixkit-girl-stroking-her-dog-in-nature-in-autumn-36063.mp4,Girl stroking her dog in nature in autumn
0,mixkit-girl-with-pet-dog-in-the-playground-25212.mp4,Girl with pet dog in the playground
0,mixkit-dalmatian-holding-a-stick-21029.mp4,Dalmatian holding a stick
0,mixkit-dog-walking-by-an-agriculture-green-field-19483.mp4,Dog walking by an agriculture green field
0,mixkit-a-woman-pets-a-dog-in-a-park-1562.mp4,"A woman sits among dried leaves next to a brown and white dog, petting its head, with a background of trees and the sun."
0,mixkit-young-girl-taking-a-nap-with-her-puppy-14952.mp4,Young girl taking a nap with her puppy
0,mixkit-a-man-petting-a-dog-in-the-grass-1481.mp4,A man wearing a blue cap is petting and playing with a dog in the grass at outdoors.
0,mixkit-dog-barking-on-a-white-background-8490.mp4,Dog barking on a white background
0,mixkit-dog-looking-at-something-8399.mp4,Dog looking at something
0,mixkit-woman-with-her-pet-dog-6664.mp4,Woman with her pet dog
0,mixkit-group-of-friends-talking-sitting-in-a-garden-42722.mp4,Group of four friends talking and laughing sitting in a garden with a dog on a sunny day.
0,mixkit-man-training-a-dog-by-making-him-jump-a-hurdle-39515.mp4,Man training a dog by making him jump a hurdle
0,mixkit-girl-stroking-her-dog-in-the-forest-34885.mp4,Girl stroking her dog in the forest
0,mixkit-young-woman-smiles-at-her-pet-33165.mp4,Young woman smiles at her pet
0,mixkit-hungry-stray-dog-lies-down-on-the-floor-33164.mp4,Hungry stray dog lies down on the floor
0,mixkit-cute-wet-dog-in-the-bathtub-after-a-bath-33103.mp4,Cute wet dog in the bathtub after a bath
0,mixkit-corgi-dog-enjoying-the-beach-25174.mp4,Corgi dog enjoying the beach
0,mixkit-girl-running-in-the-beach-with-her-dog-25139.mp4,Girl running in the beach with her dog
0,mixkit-person-carrying-a-little-dog-1657.mp4,A person who wears a pink polo shirt carries a brown hairy dog that has an open mouth with its tongue out
0,mixkit-a-man-walking-with-his-dog-in-a-forest-1500.mp4,"A man walks with his dog in a forest, low view. A white dog following its owner on a sunny day at nature. A man exploring with his dog."
0,mixkit-young-child-with-a-puppy-taking-a-selfie-6396.mp4,Young child with a puppy taking a selfie
0,mixkit-group-of-friends-hanging-out-in-a-garden-42746.mp4,"Two boys and two girls, friends, playing and talking in a sunny garden, with a dog."
0,mixkit-happy-couple-petting-their-dog-42735.mp4,"Happy in love man and woman petting their dog, sitting on the stairs while joking and kissing each other."
0,mixkit-man-teaching-tricks-to-his-dog-36528.mp4,Man teaching tricks to his dog
0,mixkit-toy-terrier-taking-a-sunbath-in-the-floor-34639.mp4,Toy Terrier taking a sunbath in the floor
0,mixkit-cute-dog-among-the-grass-in-the-park-33159.mp4,Cute dog among the grass in the park
0,mixkit-happy-lady-caresses-her-little-dog-33149.mp4,Happy lady caresses her little dog
0,mixkit-woman-strokes-her-dogs-on-the-grass-27022.mp4,Woman strokes her dogs on the grass
0,mixkit-labrador-licks-his-owner-24979.mp4,Labrador licks his owner
0,mixkit-prairie-dogs-eating-in-a-group-22404.mp4,Prairie Dogs eating in a group
0,mixkit-maned-wolf-in-the-high-grass-17942.mp4,Maned wolf in the high grass
0,mixkit-labrador-enjoying-a-head-scratch-17123.mp4,Labrador enjoying a head scratch
0,mixkit-dog-groomer-working-with-a-little-dog-1662.mp4,A dog hairdresser combing the hair of a small dog that is tied with a red leash around the neck.
0,mixkit-puppy-laying-in-their-bed-16619.mp4,Puppy laying in their bed
0,mixkit-woman-with-dog-sitting-on-balcony-1534.mp4,A woman with a dog sit together on a balcony looking out into the distance.
0,mixkit-a-dog-with-its-owner-in-a-forest-1497.mp4,A dog with a necklace shakes the water in front of a river in a forest next to its owner.
0,mixkit-girl-in-a-park-carrying-and-petting-her-cocker-spaniel-10360.mp4,"Young woman in nature seen up close, while holding and petting her little Cocker Spaniel, lovingly watching him and then turning directly to the lens."
0,mixkit-man-in-a-park-strokes-his-dog-down-10358.mp4,"Young man sitting squatting in a park, while lovingly stroking his dog, during a warm sunny day."
0,mixkit-dog-tied-on-a-leash-to-a-tree-9466.mp4,Dog tied on a leash to a tree
0,mixkit-stray-dog-sunbathing-9464.mp4,Stray dog sunbathing
0,mixkit-doog-catching-food-8432.mp4,Doog catching food
0,mixkit-woman-taking-a-selfie-with-her-dog-6400.mp4,Woman taking a selfie with her dog
0,mixkit-young-family-hugging-their-dog-546.mp4,"A man wearing a grey sweater sits on a wooden staircase petting a small black dog that sits on his lap, when a woman wearing socks, black leggings and a white knit sweater comes down the stairs, pets the dog, kisses the man on the forehead and sits on the stairs next to him."
0,mixkit-man-pets-his-dog-in-the-forest-542.mp4,"A man wearing a blue hooded jacket sits on a rock petting a black and white dog next to him, trees in the background."
0,mixkit-army-dog-sniffing-in-a-forest-39506.mp4,Army dog ​​sniffing in a forest
0,mixkit-man-training-a-dog-outdoors-36496.mp4,"Man training a dog, outdoors"
0,mixkit-woman-throwing-a-stick-at-her-dog-in-the-woods-36488.mp4,Woman throwing a stick at her dog in the woods
0,mixkit-person-brushing-the-hair-of-a-small-dog-36248.mp4,Person brushing the hair of a small dog
0,mixkit-young-woman-meditating-with-her-dog-aside-near-sea-35965.mp4,Young woman meditating with her dog aside near sea
0,mixkit-young-woman-running-with-her-dog-near-a-coast-35964.mp4,Young woman running with her dog near a coast
0,mixkit-person-bathing-his-dog-in-the-bathtub-33100.mp4,Person bathing his dog in the bathtub
0,mixkit-sad-and-hungry-dog-lost-under-rain-33018.mp4,Sad and hungry dog lost under rain
0,mixkit-dog-laying-on-a-stone-beach-32332.mp4,Dog laying on a stone beach
0,mixkit-homeless-sad-dog-by-the-sea-31982.mp4,Homeless sad dog by the sea
0,mixkit-dogsled-team-heading-through-a-forest-27745.mp4,Dogsled team heading through a forest
0,mixkit-homeless-dog-running-along-the-coast-25940.mp4,Homeless dog running along the coast
0,mixkit-woman-with-corgi-dog-reading-in-the-park-25024.mp4,Woman with corgi dog reading in the park
0,mixkit-petting-a-labrador-24978.mp4,Petting a Labrador
0,mixkit-dog-lying-on-the-floor-breathing-in-the-sun-19666.mp4,Dog lying on the floor breathing in the sun
0,mixkit-a-woman-hugging-a-dog-1561.mp4,A woman hugging a dog on a sunny day at the park in front of an orange pillar.
0,mixkit-a-girl-and-a-dog-standing-in-front-of-a-1533.mp4,A white and black dog and a woman stand in front of a yellow wall with trees in the background. The woman walks away and the dog follows.
0,mixkit-a-dog-runs-on-a-log-1531.mp4,"A black and white dog runs on top of a log, with trees and the sun shining in the background."
0,mixkit-dog-runs-to-a-man-1491.mp4,"A man kneels in a dirt road with trees in the background and calls out to a white dog that runs towards him, and they both walk off."
0,mixkit-a-man-feeding-and-peting-his-dog-at-a-forest-1490.mp4,A man feeding and caressing his dog in a forest. A dog being trained with a treat. Dog training.
0,mixkit-young-woman-in-a-park-carrying-her-schnauzer-dog-10362.mp4,"Girl in the nature of a park surrounded by trees, while holding her little gray schnauzer dog, while petting and kissing its head."
0,mixkit-girl-sitting-at-a-fountain-with-her-dog-aside-10357.mp4,"Girl sitting on the edge of a fountain in a park, with her dog at her side while lovingly petting him, and the camera pans from side to side."
0,mixkit-dog-face-close-up-at-photo-studio-8493.mp4,Dog face close up at photo studio
0,mixkit-dog-face-close-up-8453.mp4,Dog face close up
0,mixkit-dog-catching-food-in-slow-motion-8418.mp4,Dog catching food in slow motion
0,mixkit-dog-on-alert-8379.mp4,Dog on alert
0,mixkit-dog-laying-down-8359.mp4,Dog laying down
0,mixkit-dog-licking-8355.mp4,Dog licking
0,mixkit-dog-looking-past-the-camera-8342.mp4,Dog looking past the camera
0,mixkit-dog-sniffing-at-the-camera-7830.mp4,Dog sniffing at the camera
0,mixkit-throwing-a-treat-to-a-dog-7804.mp4,Throwing a treat to a dog
0,mixkit-husky-sled-dogs-pulling-in-slow-motion-7361.mp4,Husky sled dogs pulling in slow motion
0,mixkit-father-and-son-playing-in-the-snow-7315.mp4,Father and son playing in the snow
0,mixkit-dog-cubs-eating-from-their-mother-7217.mp4,Dog cubs eating from their mother
0,mixkit-sled-dogs-pulling-in-the-snow-7213.mp4,Sled dogs pulling in the snow
0,mixkit-dog-with-his-owner-on-the-sofa-6619.mp4,Dog with his owner on the sofa
0,mixkit-smiling-woman-calling-her-dog-in-the-rain-6617.mp4,Smiling woman calling her dog in the rain
0,mixkit-beautiful-dog-and-his-rose-6419.mp4,Beautiful dog and his rose
0,mixkit-taking-a-photo-with-her-pet-6397.mp4,Taking a photo with her pet
0,mixkit-woman-taking-a-selfie-after-a-workout-6356.mp4,Woman taking a selfie after a workout
0,mixkit-woman-and-her-dog-taking-a-selfie-6355.mp4,Woman and her dog taking a selfie
0,mixkit-woman-doing-yoga-at-sunset-6236.mp4,Woman doing Yoga at sunset
0,mixkit-woman-drinking-wine-with-her-dog-6184.mp4,Woman drinking wine with her dog
0,mixkit-woman-and-her-dog-outside-6151.mp4,Woman and her dog outside
0,mixkit-man-in-the-woods-with-his-dog-544.mp4,Dog and owner spend time together in a forest.
0,mixkit-woman-sitting-on-couch-petting-dog-543.mp4,"A woman wearing a white knit sweater sits on a couch drinking from a blue mug and holding a black and white dog in her lap, a young man approaches them from behind and kisses the woman on the forehead."
0,mixkit-amateur-mountaineer-about-to-climb-a-mountain-43305.mp4,"Mountaineer accompanied by a dog, about to climb a rocky mountain, in an arid environment in an aerial shot."
0,mixkit-man-and-woman-on-a-day-of-outdoor-mountaineering-43302.mp4,"Male and female climbers standing at the base of a rocky mountain, on a day of outdoor climbing in an arid ecosystem."
0,mixkit-man-and-woman-in-nature-practicing-mountaineering-43296.mp4,"A Man and a woman climbers starting to climb a gigantic rock outside, with the help of ropes and harnesses."
0,mixkit-woman-petting-her-dog-on-the-grass-42720.mp4,Woman lying on the grass in the garden of a park petting her dog during a day walk.
0,mixkit-albino-dog-sleeping-4130.mp4,Albino dog sleeping deep on the floor with a wall of stones in the background.
0,mixkit-woman-wearing-mask-with-her-dog-in-the-street-40182.mp4,"Girl with mask walking her dog down the street, on a sidewalk with bushes, trees and flowers."
0,mixkit-woman-with-face-mask-walking-with-her-dog-40181.mp4,Woman with a face mask walking with her small dog surrounded by bushes and flowers.
0,mixkit-little-girl-playing-with-her-dog-on-christmas-morning-39732.mp4,"Little girl playing with her little dog, on Christmas morning, next to the Christmas tree, while the sunlight comes through the window."
0,mixkit-man-petting-a-big-dog-in-the-park-36725.mp4,Man petting a big dog in the park
0,mixkit-man-walking-his-dog-in-a-park-aerial-shot-36723.mp4,"Man walking his dog in a park, aerial shot"
0,mixkit-dog-panting-while-being-petted-by-his-owner-36546.mp4,Dog panting while being petted by his owner
0,mixkit-man-and-his-dog-walking-through-a-field-36536.mp4,Man and his dog walking through a field
0,mixkit-young-woman-throwing-a-stick-away-at-her-dog-36535.mp4,Young woman throwing a stick away at her dog
0,mixkit-dog-resting-on-dry-grass-in-the-sun-36495.mp4,Dog resting on dry grass in the sun
0,mixkit-dog-snatching-a-training-rod-36493.mp4,Dog snatching a training rod
0,mixkit-young-woman-in-her-bed-calls-her-dog-to-pet-36126.mp4,Young woman in her bed calls her dog to pet him
0,mixkit-woman-with-her-little-dog-looking-at-the-camera-35991.mp4,Woman with her little dog looking at the camera
0,mixkit-woman-and-her-dog-doing-yoga-in-front-of-the-35970.mp4,Woman and her dog doing yoga in front of the sea
0,mixkit-woman-stroking-her-dog-on-a-shoreline-at-sunset-35966.mp4,Woman stroking her dog on a shoreline at sunset
0,mixkit-dog-sniffing-in-the-woods-3519.mp4,"Gray dog ​​sniffing a pine forest, a picnic table made of wood, the dog runs into the fog"
0,mixkit-dog-running-in-the-meadow-3518.mp4,"Dog running towards the camera in a green meadow, with fog and pine trees in the background"
0,mixkit-dog-in-the-forest-on-a-sunny-day-34936.mp4,Dog in the forest on a sunny day
0,mixkit-portrait-of-a-rottweiler-dog-in-the-forest-34926.mp4,Portrait of a Rottweiler dog in the forest
0,mixkit-little-girl-teaching-tricks-to-her-dog-34923.mp4,Little girl teaching tricks to her dog
0,mixkit-little-girl-kisses-her-dog-in-the-park-34919.mp4,Little girl kisses her dog in the park
0,mixkit-girl-playing-with-her-dog-on-the-meadow-34852.mp4,Girl playing with her dog on the meadow
0,mixkit-dog-scared-in-a-cage-in-the-kennel-34616.mp4,Dog scared in a cage in the kennel
0,mixkit-old-woman-and-her-pet-wearing-mask-33672.mp4,Old woman and her pet wearing mask
0,mixkit-little-dog-wearing-a-mask-33643.mp4,Little dog wearing a mask
0,mixkit-old-woman-playing-with-her-dog-on-the-floor-33199.mp4,Old woman playing with her dog on the floor
0,mixkit-woman-caresses-her-dog-in-the-garden-33170.mp4,Woman caresses her dog in the garden
0,mixkit-dog-relaxing-after-a-bath-33101.mp4,Dog relaxing after a bath
0,mixkit-dog-barking-behind-a-fence-32419.mp4,Dog barking behind a fence
0,mixkit-sad-dog-in-the-city-park-32335.mp4,Sad dog in the city park
0,mixkit-close-up-of-a-dog-falling-asleep-32312.mp4,Close up of a dog falling asleep
0,mixkit-homeless-sad-dog-portrait-31989.mp4,Homeless sad dog portrait
0,mixkit-women-feeding-a-puppy-in-a-christmas-park-at-night-3097.mp4,Two women feeding a small dog that has a leash in a Christmas theme park at night with ornaments of lights and figures.
0,mixkit-girl-running-with-her-dog-among-the-trees-30949.mp4,Girl running with her dog among the trees
0,mixkit-woman-sharing-her-meal-with-her-dog-28955.mp4,Woman sharing her meal with her dog
0,mixkit-woman-checking-her-phone-while-walking-her-dog-28229.mp4,Woman checking her phone while walking her dog
0,mixkit-woman-holding-a-chihuahua-26602.mp4,Woman holding a Chihuahua
0,mixkit-woman-working-from-her-bed-with-her-pet-26601.mp4,Woman working from her bed with her pet
0,mixkit-dog-laying-down-for-a-belly-scratch-26379.mp4,Dog laying down for a belly scratch
0,mixkit-stray-dog-on-the-beach-26184.mp4,Stray dog on the beach
0,mixkit-child-talking-to-his-husky-26147.mp4,Child talking to his Husky
0,mixkit-dog-looking-down-into-a-stream-26033.mp4,Dog looking down into a stream
0,mixkit-small-dog-having-a-hair-cut-26029.mp4,Small dog having a hair cut
0,mixkit-woman-and-her-dog-working-through-a-forest-path-25177.mp4,Woman and her dog working through a forest path
0,mixkit-woman-with-a-dog-on-the-green-grass-field-25168.mp4,Woman with a dog on the green grass field
0,mixkit-woman-with-corgi-dog-in-a-green-hill-25165.mp4,Woman with corgi dog in a green hill
0,mixkit-aerial-view-of-a-picnic-day-with-a-dog-25121.mp4,Aerial view of a picnic day with a dog
